Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Romania,2021,69.5,68.8,54.6,63.1,94.3,69.2,78.9,59.7,63.6,77.7,84.0,70.0,50.0
Russia,2021,61.5,54.4,41.7,42.4,93.0,66.1,99.6,84.1,55.4,67.3,74.0,30.0,30.0
Rwanda,2021,68.3,68.7,59.1,75.2,79.5,78.5,78.0,62.3,77.4,80.2,61.2,60.0,40.0
Saint Lucia,2021,67.5,61.5,44.6,66.3,76.9,83.2,86.2,75.7,66.5,83.5,60.6,65.0,40.0
Saint Vincent and the Grenadines,2021,66.3,48.1,48.7,66.3,74.9,71.6,87.6,74.2,74.0,82.6,57.8,70.0,40.0
Samoa,2021,61.9,48.5,32.7,28.2,78.9,71.1,95.2,75.5,80.8,80.0,66.4,55.0,30.0
São Tomé and Príncipe,2021,55.9,36.8,39.5,23.3,88.4,79.7,74.6,62.8,43.2,67.0,65.2,60.0,30.0
Saudi Arabia,2021,66.0,68.7,53.2,76.7,99.1,62.9,31.0,83.5,63.3,82.3,75.8,45.0,50.0
Senegal,2021,58.0,50.3,43.6,37.8,72.4,84.2,72.2,53.5,36.6,79.0,66.4,60.0,40.0
"Serbia ",2021,67.2,57.9,45.0,50.6,92.5,49.6,94.6,71.0,67.3,81.1,77.2,70.0,50.0
Seychelles,2021,66.3,65.3,64.4,51.6,76.9,60.9,93.2,67.5,71.3,80.3,79.0,55.0,30.0
Sierra Leone,2021,51.7,42.3,30.5,45.7,86.7,85.9,39.7,49.6,30.1,65.1,64.6,60.0,20.0
Singapore,2021,89.7,97.5,93.2,90.8,90.5,94.1,80.0,93.8,91.5,85.4,95.0,85.0,80.0
Slovak Republic,2021,66.3,71.5,48.8,44.4,78.4,47.0,93.4,55.6,52.2,74.8,84.0,75.0,70.0
Slovenia,2021,68.3,77.3,68.2,56.3,58.2,42.5,91.1,78.8,61.5,81.9,84.0,70.0,50.0
Solomon Islands,2021,56.5,46.1,35.2,55.9,66.3,55.3,92.2,58.9,73.8,80.6,68.6,15.0,30.0
Somalia,2021,N/A,27.8,11.5,23.3,N/A,N/A,N/A,31.2,N/A,N/A,N/A,N/A,N/A
South Africa,2021,59.7,59.6,50.6,57.1,63.9,65.9,53.4,61.5,59.4,76.8,72.6,45.0,50.0
South Korea,2021,74.0,80.7,68.9,63.4,63.0,86.9,96.7,89.5,55.8,84.4,79.0,60.0,60.0
Spain,2021,69.9,76.4,70.3,65.4,61.7,48.1,69.8,66.3,57.9,83.5,84.0,85.0,70.0
Sri Lanka,2021,55.7,45.4,39.5,46.8,85.0,88.4,30.1,75.2,59.1,71.6,47.0,40.0,40.0
Sudan,2021,39.1,32.6,20.2,19.7,84.9,91.9,0.0,50.8,60.4,39.2,45.0,5.0,20.0
Suriname,2021,46.4,45.5,38.5,15.4,70.0,68.2,7.8,45.8,61.9,73.7,60.2,40.0,30.0
Sweden,2021,74.7,86.6,92.5,79.1,43.6,29.5,97.6,83.2,53.9,81.5,84.0,85.0,80.0
Switzerland,2021,81.9,85.4,87.9,82.2,70.4,67.6,96.9,73.6,72.5,85.4,86.0,85.0,90.0
Syria,2021,N/A,42.5,25.9,19.7,N/A,N/A,N/A,49.7,57.8,60.6,47.0,0.0,N/A
Taiwan,2021,78.6,87.3,74.5,72.9,79.2,91.0,93.7,93.4,60.4,84.3,86.0,60.0,60.0
Tajikistan,2021,55.2,41.6,35.2,48.8,91.9,68.6,75.1,62.3,46.2,68.5,69.6,25.0,30.0
Tanzania,2021,61.3,41.3,34.5,40.2,80.7,91.8,90.8,45.7,67.7,72.9,64.4,55.0,50.0
Thailand,2021,69.7,60.0,45.1,48.1,81.5,86.0,96.4,85.3,64.3,74.4,80.0,55.0,60.0
The Bahamas,2021,64.6,48.1,47.5,45.7,97.1,87.6,72.7,70.4,70.0,77.0,49.0,50.0,60.0
The Gambia,2021,58.8,41.8,35.2,44.3,76.9,84.1,54.5,56.0,67.4,63.2,66.6,65.0,50.0
Timor-Leste,2021,44.7,37.2,37.4,15.1,91.7,0.0,20.0,62.2,53.4,79.7,75.0,45.0,20.0
Togo,2021,57.5,44.5,32.2,28.2,68.0,84.8,89.9,60.6,47.1,79.7,65.4,60.0,30.0
Tonga,2021,57.5,48.1,44.6,23.3,84.8,53.7,95.4,70.0,69.9,66.4,73.4,40.0,20.0
Trinidad and Tobago,2021,59.0,52.4,36.4,46.9,79.5,70.9,15.8,66.5,76.8,83.4,68.8,60.0,50.0
Tunisia,2021,56.6,53.9,42.0,41.9,71.7,71.1,53.0,80.7,49.7,73.6,66.8,45.0,30.0
Turkey,2021,64.0,61.5,45.4,58.6,73.2,64.5,75.8,68.5,48.8,65.4,76.0,70.0,60.0
Turkmenistan,2021,47.4,27.7,22.0,20.0,92.6,93.2,96.3,30.0,20.0,72.8,74.2,10.0,10.0
Uganda,2021,58.6,44.8,25.0,36.5,73.2,91.6,63.2,44.9,83.2,78.9,67.4,55.0,40.0
Ukraine,2021,56.2,48.5,37.9,41.1,88.7,48.2,87.7,63.5,48.7,65.8,79.2,35.0,30.0
United Arab Emirates,2021,76.9,80.8,66.0,81.1,100.0,73.0,98.5,80.0,81.6,80.6,81.4,40.0,60.0
United Kingdom,2021,78.4,87.6,86.5,76.7,64.9,54.8,77.3,94.4,73.2,81.0,84.0,80.0,80.0
United States,2021,74.8,79.7,76.8,72.4,76.0,62.2,34.9,82.5,87.1,81.1,80.4,85.0,80.0
Uruguay,2021,69.3,68.1,75.7,66.8,72.6,66.9,80.5,72.3,70.5,72.5,70.8,85.0,30.0
Uzbekistan,2021,58.3,57.8,30.5,50.8,92.4,79.9,98.3,73.5,61.2,60.3,55.4,20.0,20.0
Vanuatu,2021,60.5,53.3,39.5,34.1,96.8,61.7,94.9,49.4,54.5,75.5,61.6,65.0,40.0
Venezuela,2021,24.7,7.5,15.1,15.4,71.1,61.5,0.0,33.4,27.5,0.0,54.8,0.0,10.0
Vietnam,2021,61.7,51.3,38.0,35.9,80.3,86.0,82.8,65.2,62.6,69.0,79.0,40.0,50.0
Yemen,2021,N/A,16.5,17.0,19.7,N/A,95.6,48.9,46.1,57.7,54.6,67.4,N/A,N/A
Zambia,2021,50.4,37.2,30.5,26.2,71.1,78.5,5.3,66.1,45.6,71.2,68.2,55.0,50.0
Zimbabwe,2021,39.5,32.6,21.3,32.0,63.4,89.4,58.8,41.5,44.1,0.0,56.0,25.0,10.0
